current_country,current_region,next_country,next_region
China,Eastern Asia,Cape Verde,Western Africa
India,Southern Asia,Cape Verde,Western Africa
Russia,Eastern Europe,Venezuela,South America
Thailand,South-Eastern Asia,China,Eastern Asia
Venezuela,South America,Canada,North America
Russia,Eastern Europe,China,Eastern Asia
Argentina,South America,United States,North America
South Africa,Southern Africa,Thailand,South-Eastern Asia
Italy,Southern Europe,India,Southern Asia
Thailand,South-Eastern Asia,China,Eastern Asia
United States,North America,Spain,Southern Europe
Canada,North America,China,Eastern Asia
Mexico,Central America,Venezuela,South America
New Zealand,Oceania,Spain,Southern Europe
Brazil,South America,South Africa,Southern Africa
Egypt,Northern Africa,New Zealand,Oceania
Argentina,South America,Germany,Western Europe
Argentina,South America,Argentina,South America
New Zealand,Oceania,Mexico,Central America
Cape Verde,Western Africa,United States,North America
Venezuela,South America,Australia,Oceania
New Zealand,Oceania,China,Eastern Asia
Germany,Western Europe,Argentina,South America
India,Southern Asia,Canada,North America
Japan,Eastern Asia,Spain,Southern Europe
Germany,Western Europe,Italy,Southern Europe
Venezuela,South America,France,Western Europe
Italy,Southern Europe,Thailand,South-Eastern Asia
Cape Verde,Western Africa,South Africa,Southern Africa
Spain,Southern Europe,Canada,North America
New Zealand,Oceania,Venezuela,South America
Italy,Southern Europe,Spain,Southern Europe
United States,North America,New Zealand,Oceania
India,Southern Asia,South Africa,Southern Africa
Venezuela,South America,Germany,Western Europe
South Africa,Southern Africa,Australia,Oceania
Germany,Western Europe,Russia,Eastern Europe
Germany,Western Europe,United States,North America
India,Southern Asia,Russia,Eastern Europe
Argentina,South America,India,Southern Asia
New Zealand,Oceania,Argentina,South America
Spain,Southern Europe,France,Western Europe
Thailand,South-Eastern Asia,South Africa,Southern Africa
South Africa,Southern Africa,Cape Verde,Western Africa
Australia,Oceania,India,Southern Asia
United States,North America,Spain,Southern Europe
United States,North America,Germany,Western Europe
Spain,Southern Europe,Australia,Oceania
New Zealand,Oceania,China,Eastern Asia
New Zealand,Oceania,Japan,Eastern Asia
Cape Verde,Western Africa,Germany,Western Europe
South Africa,Southern Africa,Spain,Southern Europe
Mexico,Central America,Venezuela,South America
Mexico,Central America,Spain,Southern Europe
India,Southern Asia,Thailand,South-Eastern Asia
Germany,Western Europe,Venezuela,South America
Brazil,South America,Australia,Oceania
New Zealand,Oceania,Mexico,Central America
Mexico,Central America,Brazil,South America
Argentina,South America,Australia,Oceania
China,Eastern Asia,Spain,Southern Europe
Mexico,Central America,United States,North America
Australia,Oceania,Russia,Eastern Europe
Russia,Eastern Europe,India,Southern Asia
Spain,Southern Europe,South Africa,Southern Africa
Cape Verde,Western Africa,Egypt,Northern Africa
Venezuela,South America,Argentina,South America
Egypt,Northern Africa,South Africa,Southern Africa
Australia,Oceania,Mexico,Central America
Mexico,Central America,Canada,North America
South Africa,Southern Africa,Spain,Southern Europe
Spain,Southern Europe,Thailand,South-Eastern Asia
Canada,North America,Mexico,Central America
Japan,Eastern Asia,China,Eastern Asia
Australia,Oceania,Thailand,South-Eastern Asia
Venezuela,South America,New Zealand,Oceania
New Zealand,Oceania,Venezuela,South America
Russia,Eastern Europe,Canada,North America
New Zealand,Oceania,Canada,North America
Mexico,Central America,Egypt,Northern Africa
Russia,Eastern Europe,Egypt,Northern Africa
Russia,Eastern Europe,Australia,Oceania
Egypt,Northern Africa,New Zealand,Oceania
Venezuela,South America,Canada,North America
Brazil,South America,Egypt,Northern Africa
Thailand,South-Eastern Asia,United States,North America
Russia,Eastern Europe,Australia,Oceania
Russia,Eastern Europe,Brazil,South America
Egypt,Northern Africa,Spain,Southern Europe
New Zealand,Oceania,China,Eastern Asia
Venezuela,South America,China,Eastern Asia
Japan,Eastern Asia,New Zealand,Oceania
China,Eastern Asia,Thailand,South-Eastern Asia
Thailand,South-Eastern Asia,United States,North America
India,Southern Asia,United States,North America
Australia,Oceania,Argentina,South America
Spain,Southern Europe,Cape Verde,Western Africa
Australia,Oceania,Egypt,Northern Africa
Egypt,Northern Africa,Cape Verde,Western Africa
Japan,Eastern Asia,Russia,Eastern Europe
Germany,Western Europe,New Zealand,Oceania
Italy,Southern Europe,Argentina,South America
United States,North America,Japan,Eastern Asia
New Zealand,Oceania,Germany,Western Europe
South Africa,Southern Africa,United States,North America
Egypt,Northern Africa,Cape Verde,Western Africa
Spain,Southern Europe,Russia,Eastern Europe
Venezuela,South America,Venezuela,South America
Venezuela,South America,United States,North America
Thailand,South-Eastern Asia,Cape Verde,Western Africa
Germany,Western Europe,Australia,Oceania
Argentina,South America,Canada,North America
Mexico,Central America,France,Western Europe
Mexico,Central America,South Africa,Southern Africa
France,Western Europe,Venezuela,South America
Egypt,Northern Africa,Spain,Southern Europe
France,Western Europe,India,Southern Asia
Thailand,South-Eastern Asia,New Zealand,Oceania
Venezuela,South America,France,Western Europe
France,Western Europe,South Africa,Southern Africa
Argentina,South America,Brazil,South America
Germany,Western Europe,Argentina,South America
Italy,Southern Europe,France,Western Europe
India,Southern Asia,New Zealand,Oceania
Russia,Eastern Europe,Canada,North America
Japan,Eastern Asia,Venezuela,South America
United States,North America,Venezuela,South America
France,Western Europe,Russia,Eastern Europe
Cape Verde,Western Africa,Thailand,South-Eastern Asia
Germany,Western Europe,South Africa,Southern Africa
Japan,Eastern Asia,Canada,North America
Egypt,Northern Africa,Spain,Southern Europe
Germany,Western Europe,India,Southern Asia
Argentina,South America,Australia,Oceania
Australia,Oceania,Australia,Oceania
France,Western Europe,Thailand,South-Eastern Asia
United States,North America,United States,North America
Thailand,South-Eastern Asia,Venezuela,South America
China,Eastern Asia,Cape Verde,Western Africa
India,Southern Asia,Australia,Oceania
Spain,Southern Europe,Mexico,Central America
Argentina,South America,Japan,Eastern Asia
China,Eastern Asia,Mexico,Central America
China,Eastern Asia,Mexico,Central America
China,Eastern Asia,Australia,Oceania
France,Western Europe,Cape Verde,Western Africa
Brazil,South America,Cape Verde,Western Africa
South Africa,Southern Africa,Spain,Southern Europe
China,Eastern Asia,South Africa,Southern Africa
Egypt,Northern Africa,Germany,Western Europe
Mexico,Central America,South Africa,Southern Africa
Canada,North America,Japan,Eastern Asia
India,Southern Asia,Germany,Western Europe
Cape Verde,Western Africa,France,Western Europe
Argentina,South America,Venezuela,South America
Mexico,Central America,Spain,Southern Europe
Mexico,Central America,Brazil,South America
New Zealand,Oceania,Italy,Southern Europe
Canada,North America,France,Western Europe
Egypt,Northern Africa,China,Eastern Asia
France,Western Europe,New Zealand,Oceania
South Africa,Southern Africa,Cape Verde,Western Africa
Thailand,South-Eastern Asia,Mexico,Central America
Argentina,South America,India,Southern Asia
South Africa,Southern Africa,Mexico,Central America
Russia,Eastern Europe,New Zealand,Oceania
Italy,Southern Europe,Mexico,Central America
Egypt,Northern Africa,Italy,Southern Europe
Argentina,South America,France,Western Europe
Egypt,Northern Africa,Japan,Eastern Asia
Russia,Eastern Europe,Cape Verde,Western Africa
Italy,Southern Europe,Australia,Oceania
Egypt,Northern Africa,Germany,Western Europe
Russia,Eastern Europe,India,Southern Asia
New Zealand,Oceania,New Zealand,Oceania
Italy,Southern Europe,Cape Verde,Western Africa
Japan,Eastern Asia,Egypt,Northern Africa
Argentina,South America,France,Western Europe
Australia,Oceania,Russia,Eastern Europe
Venezuela,South America,South Africa,Southern Africa
Russia,Eastern Europe,Egypt,Northern Africa
China,Eastern Asia,New Zealand,Oceania
Mexico,Central America,Venezuela,South America
Australia,Oceania,Japan,Eastern Asia
China,Eastern Asia,South Africa,Southern Africa
Argentina,South America,Russia,Eastern Europe
Mexico,Central America,Spain,Southern Europe
Italy,Southern Europe,Japan,Eastern Asia
France,Western Europe,Germany,Western Europe
Russia,Eastern Europe,Egypt,Northern Africa
Canada,North America,United States,North America
France,Western Europe,Brazil,South America
Spain,Southern Europe,Mexico,Central America
Japan,Eastern Asia,United States,North America
Venezuela,South America,Germany,Western Europe
Australia,Oceania,Spain,Southern Europe
Japan,Eastern Asia,Russia,Eastern Europe
Thailand,South-Eastern Asia,France,Western Europe
Canada,North America,United States,North America
Canada,North America,Germany,Western Europe
Spain,Southern Europe,United States,North America
Japan,Eastern Asia,Egypt,Northern Africa
Mexico,Central America,Argentina,South America
Venezuela,South America,Italy,Southern Europe
Venezuela,South America,Australia,Oceania
Australia,Oceania,Australia,Oceania
Mexico,Central America,Egypt,Northern Africa
Brazil,South America,United States,North America
United States,North America,India,Southern Asia
Russia,Eastern Europe,Thailand,South-Eastern Asia
Brazil,South America,Venezuela,South America
Cape Verde,Western Africa,Australia,Oceania
United States,North America,Argentina,South America
Canada,North America,Cape Verde,Western Africa
Egypt,Northern Africa,Egypt,Northern Africa
Germany,Western Europe,United States,North America
Russia,Eastern Europe,United States,North America
New Zealand,Oceania,China,Eastern Asia
Argentina,South America,South Africa,Southern Africa
Argentina,South America,Germany,Western Europe
Egypt,Northern Africa,Spain,Southern Europe
Brazil,South America,United States,North America
South Africa,Southern Africa,South Africa,Southern Africa
Venezuela,South America,South Africa,Southern Africa
South Africa,Southern Africa,Australia,Oceania
Australia,Oceania,New Zealand,Oceania
Italy,Southern Europe,Australia,Oceania
France,Western Europe,Germany,Western Europe
Australia,Oceania,Russia,Eastern Europe
Australia,Oceania,Spain,Southern Europe
New Zealand,Oceania,France,Western Europe
Brazil,South America,Australia,Oceania
Thailand,South-Eastern Asia,Argentina,South America
Japan,Eastern Asia,Australia,Oceania
Germany,Western Europe,South Africa,Southern Africa
Canada,North America,France,Western Europe
Italy,Southern Europe,India,Southern Asia
China,Eastern Asia,Russia,Eastern Europe
France,Western Europe,Mexico,Central America
South Africa,Southern Africa,France,Western Europe
New Zealand,Oceania,Italy,Southern Europe
Italy,Southern Europe,Mexico,Central America
South Africa,Southern Africa,New Zealand,Oceania
Spain,Southern Europe,South Africa,Southern Africa
South Africa,Southern Africa,Russia,Eastern Europe
Russia,Eastern Europe,Cape Verde,Western Africa
Russia,Eastern Europe,Venezuela,South America
Venezuela,South America,China,Eastern Asia
United States,North America,India,Southern Asia
Argentina,South America,Brazil,South America
Russia,Eastern Europe,Japan,Eastern Asia
Cape Verde,Western Africa,Argentina,South America
South Africa,Southern Africa,South Africa,Southern Africa
South Africa,Southern Africa,Germany,Western Europe
Italy,Southern Europe,Egypt,Northern Africa
France,Western Europe,Spain,Southern Europe
Russia,Eastern Europe,Mexico,Central America
Thailand,South-Eastern Asia,South Africa,Southern Africa
Brazil,South America,Argentina,South America
Italy,Southern Europe,Cape Verde,Western Africa
Japan,Eastern Asia,Canada,North America
China,Eastern Asia,Thailand,South-Eastern Asia
South Africa,Southern Africa,Spain,Southern Europe
Thailand,South-Eastern Asia,South Africa,Southern Africa
South Africa,Southern Africa,Mexico,Central America
Brazil,South America,South Africa,Southern Africa
Egypt,Northern Africa,New Zealand,Oceania
China,Eastern Asia,United States,North America
Japan,Eastern Asia,Canada,North America
New Zealand,Oceania,Argentina,South America
Thailand,South-Eastern Asia,New Zealand,Oceania
Brazil,South America,Australia,Oceania
South Africa,Southern Africa,Italy,Southern Europe
Venezuela,South America,China,Eastern Asia
Canada,North America,Japan,Eastern Asia
Argentina,South America,South Africa,Southern Africa
Spain,Southern Europe,Italy,Southern Europe
Mexico,Central America,Cape Verde,Western Africa
Brazil,South America,Venezuela,South America
India,Southern Asia,Germany,Western Europe
Cape Verde,Western Africa,Mexico,Central America
Canada,North America,Russia,Eastern Europe
China,Eastern Asia,United States,North America
Egypt,Northern Africa,South Africa,Southern Africa
China,Eastern Asia,Mexico,Central America
Mexico,Central America,Thailand,South-Eastern Asia
Brazil,South America,Egypt,Northern Africa
India,Southern Asia,Argentina,South America
Russia,Eastern Europe,France,Western Europe
Germany,Western Europe,Brazil,South America
Egypt,Northern Africa,France,Western Europe
United States,North America,Egypt,Northern Africa
Canada,North America,Thailand,South-Eastern Asia
Mexico,Central America,Thailand,South-Eastern Asia
Italy,Southern Europe,Italy,Southern Europe
Canada,North America,Mexico,Central America
Brazil,South America,Thailand,South-Eastern Asia
Russia,Eastern Europe,Argentina,South America
France,Western Europe,China,Eastern Asia
Italy,Southern Europe,Egypt,Northern Africa
Russia,Eastern Europe,Japan,Eastern Asia
Australia,Oceania,Cape Verde,Western Africa
Thailand,South-Eastern Asia,New Zealand,Oceania
Thailand,South-Eastern Asia,India,Southern Asia
Canada,North America,Australia,Oceania
Thailand,South-Eastern Asia,Venezuela,South America
France,Western Europe,Japan,Eastern Asia
Mexico,Central America,Russia,Eastern Europe
Brazil,South America,Russia,Eastern Europe
Venezuela,South America,Venezuela,South America
Egypt,Northern Africa,Cape Verde,Western Africa
Egypt,Northern Africa,Japan,Eastern Asia
Spain,Southern Europe,Australia,Oceania
Cape Verde,Western Africa,Spain,Southern Europe
France,Western Europe,Japan,Eastern Asia
Venezuela,South America,Germany,Western Europe
New Zealand,Oceania,Thailand,South-Eastern Asia
Egypt,Northern Africa,India,Southern Asia
United States,North America,China,Eastern Asia
Argentina,South America,Italy,Southern Europe
France,Western Europe,China,Eastern Asia
