date,solo_travel,age,trip_count,travel_reason,trip_enjoyment,spontaneity,next_destination,enjoyment_rate
2024-09-21 05:11:46,true,35-44,10+,Budget-friendly,Meeting new people,5,false,6
2024-09-30 06:02:36,true,55+,2-5,Adventure,Meeting new people,10,false,2
2024-07-17 23:45:07,false,45-54,2-5,Budget-friendly,Personal growth,7,false,10
2024-09-14 11:19:41,true,Under 25,6-9,Self-discovery,Practicing a new language,4,true,2
2024-03-06 03:58:31,true,45-54,10+,Cultural Immersion,Exploring new places,7,false,4
2024-07-03 08:02:19,true,35-44,2-5,Self-discovery,Meeting new people,9,true,6
2025-01-15 22:45:49,false,Under 25,10+,Relaxation,Exploring new places,4,false,10
2025-01-26 20:41:57,false,25-34,6-9,Self-discovery,Exploring new places,7,false,6
2024-11-22 05:38:44,false,55+,0-1,Self-discovery,Exploring new places,9,true,2
2024-05-11 02:50:26,false,35-44,10+,Relaxation,Exploring new places,7,false,5
2025-01-26 05:26:18,true,Under 25,2-5,Budget-friendly,Meeting new people,10,true,5
2024-11-27 12:53:35,true,35-44,0-1,Adventure,Personal growth,5,true,5
2024-05-28 18:47:12,false,45-54,2-5,Cultural Immersion,Exploring new places,5,true,3
2024-12-29 07:27:08,false,35-44,10+,Budget-friendly,Trying new food,10,false,8
2024-07-09 11:37:40,false,55+,2-5,Budget-friendly,Trying new food,9,true,4
2024-11-21 21:46:40,false,35-44,2-5,Relaxation,Personal growth,4,false,3
2024-08-06 17:01:45,false,45-54,10+,Relaxation,Trying new food,1,false,1
2024-10-18 16:55:52,true,Under 25,2-5,Self-discovery,Trying new food,5,true,2
2024-12-30 22:59:49,true,45-54,0-1,Relaxation,Meeting new people,9,false,5
2024-05-07 04:15:36,false,55+,6-9,Budget-friendly,Personal growth,1,false,10
2024-08-16 17:34:42,false,Under 25,6-9,Cultural Immersion,Practicing a new language,9,false,10
2024-06-19 02:00:58,true,25-34,0-1,Budget-friendly,Trying new food,8,true,4
2025-01-23 13:19:04,false,35-44,0-1,Self-discovery,Practicing a new language,8,false,2
2024-06-04 20:00:16,true,35-44,6-9,Budget-friendly,Practicing a new language,10,true,6
2024-05-22 08:32:01,false,45-54,0-1,Relaxation,Meeting new people,7,true,7
2024-03-06 20:00:39,false,35-44,10+,Budget-friendly,Trying new food,9,true,3
2024-03-29 06:46:39,false,45-54,6-9,Budget-friendly,Trying new food,2,false,4
2025-01-25 14:09:28,false,55+,2-5,Adventure,Practicing a new language,5,true,8
2024-11-19 05:20:23,true,Under 25,0-1,Self-discovery,Personal growth,1,false,3
2024-07-09 05:41:29,true,Under 25,6-9,Adventure,Personal growth,2,false,6
2025-01-27 01:24:03,true,35-44,2-5,Cultural Immersion,Meeting new people,7,true,6
2024-10-17 21:16:47,true,25-34,10+,Self-discovery,Meeting new people,7,true,4
2024-12-30 22:55:18,false,55+,0-1,Cultural Immersion,Trying new food,1,false,5
2024-10-25 17:01:54,false,Under 25,6-9,Self-discovery,Exploring new places,7,false,5
2024-10-27 12:54:01,true,55+,2-5,Budget-friendly,Practicing a new language,9,false,9
2024-08-03 08:04:05,false,55+,10+,Budget-friendly,Exploring new places,9,false,3
2024-09-16 08:09:52,true,35-44,0-1,Cultural Immersion,Exploring new places,2,true,6
2025-01-18 06:14:43,false,35-44,10+,Budget-friendly,Exploring new places,2,false,1
2024-07-07 22:34:15,true,25-34,10+,Cultural Immersion,Exploring new places,4,true,4
2024-07-26 02:07:53,false,55+,10+,Relaxation,Exploring new places,3,true,5
2024-10-16 09:23:45,false,55+,2-5,Cultural Immersion,Trying new food,4,false,2
2024-08-19 18:21:17,false,25-34,2-5,Cultural Immersion,Practicing a new language,1,false,2
2024-04-05 20:17:29,false,35-44,0-1,Budget-friendly,Personal growth,4,true,1
2024-09-09 06:56:18,true,45-54,10+,Cultural Immersion,Personal growth,9,true,10
2024-11-30 10:39:22,false,25-34,2-5,Adventure,Meeting new people,3,false,6
2024-05-20 08:11:00,false,Under 25,10+,Cultural Immersion,Meeting new people,1,true,10
2024-05-18 17:43:09,true,35-44,10+,Cultural Immersion,Trying new food,10,false,3
2024-03-06 21:35:16,false,25-34,10+,Relaxation,Trying new food,10,true,9
2024-06-19 08:39:43,true,25-34,0-1,Adventure,Meeting new people,8,false,1
2025-01-20 17:47:10,false,55+,0-1,Relaxation,Meeting new people,9,true,2
2024-03-03 11:34:02,false,25-34,10+,Budget-friendly,Exploring new places,1,true,1
2024-06-20 21:27:39,false,Under 25,6-9,Adventure,Practicing a new language,9,false,1
2024-05-22 16:01:15,true,45-54,6-9,Budget-friendly,Practicing a new language,4,false,4
2024-11-16 19:42:14,true,25-34,2-5,Cultural Immersion,Practicing a new language,8,false,1
2024-05-04 19:15:59,false,Under 25,0-1,Adventure,Personal growth,6,false,10
2024-06-15 10:31:31,false,55+,2-5,Adventure,Meeting new people,9,true,4
2024-07-21 04:42:03,false,25-34,2-5,Self-discovery,Trying new food,3,true,8
2024-08-12 17:09:42,false,Under 25,6-9,Relaxation,Meeting new people,10,true,4
2024-06-12 07:01:12,true,35-44,0-1,Adventure,Practicing a new language,5,false,9
2024-03-26 18:24:40,false,25-34,0-1,Self-discovery,Meeting new people,7,true,1
2025-01-28 00:30:23,false,45-54,6-9,Cultural Immersion,Personal growth,7,false,2
2024-03-05 23:43:36,true,55+,10+,Budget-friendly,Exploring new places,6,false,2
2024-04-05 19:54:23,false,35-44,2-5,Relaxation,Practicing a new language,4,false,6
2024-10-17 17:45:43,true,35-44,2-5,Cultural Immersion,Personal growth,2,false,10
2024-06-04 03:32:31,true,55+,6-9,Budget-friendly,Exploring new places,10,false,2
2024-07-25 04:06:02,true,Under 25,10+,Budget-friendly,Exploring new places,8,false,3
2025-01-13 04:30:18,true,25-34,10+,Cultural Immersion,Exploring new places,9,true,10
2025-01-29 23:43:46,false,Under 25,6-9,Relaxation,Personal growth,8,true,2
2024-04-21 20:50:26,false,35-44,6-9,Budget-friendly,Meeting new people,7,true,1
2024-08-10 23:44:56,false,55+,2-5,Self-discovery,Meeting new people,9,true,4
2024-10-10 02:07:25,false,25-34,6-9,Cultural Immersion,Exploring new places,5,true,5
2025-02-01 00:10:49,true,Under 25,0-1,Relaxation,Practicing a new language,6,true,7
2024-10-06 02:08:39,false,55+,0-1,Self-discovery,Trying new food,9,false,3
2024-12-13 15:59:32,false,45-54,10+,Relaxation,Trying new food,9,false,1
2024-06-29 00:51:05,false,45-54,2-5,Self-discovery,Practicing a new language,2,false,4
2024-09-03 20:28:24,true,45-54,2-5,Relaxation,Practicing a new language,4,false,10
2024-06-06 12:13:33,true,Under 25,6-9,Self-discovery,Meeting new people,4,true,4
2024-09-05 09:27:12,true,25-34,6-9,Adventure,Trying new food,4,true,7
2025-01-07 06:20:23,true,35-44,10+,Budget-friendly,Practicing a new language,7,true,10
2024-11-06 02:25:01,false,35-44,0-1,Cultural Immersion,Meeting new people,10,false,7
2024-05-01 01:55:35,false,35-44,2-5,Adventure,Trying new food,7,false,4
2024-08-25 19:13:04,false,55+,2-5,Relaxation,Meeting new people,4,true,4
2024-07-04 05:07:29,false,55+,6-9,Relaxation,Exploring new places,2,false,6
2024-04-28 20:33:25,true,55+,6-9,Adventure,Practicing a new language,10,false,9
2024-07-04 13:40:13,false,45-54,2-5,Cultural Immersion,Trying new food,5,true,5
2024-12-04 11:33:02,true,25-34,0-1,Relaxation,Practicing a new language,3,true,1
2024-10-01 14:53:20,false,Under 25,6-9,Relaxation,Exploring new places,10,false,5
2024-04-28 07:37:03,false,25-34,2-5,Relaxation,Practicing a new language,4,true,1
2024-04-28 08:41:06,false,35-44,6-9,Relaxation,Practicing a new language,4,true,7
2025-01-28 23:11:11,true,Under 25,2-5,Budget-friendly,Trying new food,4,false,7
2024-11-26 01:36:10,true,Under 25,2-5,Cultural Immersion,Practicing a new language,1,false,10
2024-03-28 02:58:18,true,55+,10+,Relaxation,Personal growth,8,true,10
2024-08-06 13:22:31,false,Under 25,10+,Relaxation,Personal growth,4,false,3
2025-01-19 17:07:43,false,45-54,0-1,Cultural Immersion,Meeting new people,6,true,2
2024-08-22 11:33:29,false,25-34,10+,Cultural Immersion,Meeting new people,8,true,2
2024-12-18 00:48:58,true,25-34,0-1,Cultural Immersion,Exploring new places,6,true,8
2025-01-27 18:47:44,true,55+,0-1,Relaxation,Practicing a new language,7,true,10
2024-11-29 10:28:13,false,25-34,6-9,Relaxation,Meeting new people,6,false,7
2024-04-16 14:02:26,false,45-54,10+,Self-discovery,Exploring new places,7,false,1
2024-05-10 08:25:33,true,55+,10+,Adventure,Practicing a new language,5,false,5
2024-07-10 07:33:04,false,Under 25,10+,Adventure,Exploring new places,4,true,2
2024-08-11 21:04:33,false,45-54,6-9,Relaxation,Personal growth,8,false,9
2024-07-20 03:02:08,false,Under 25,10+,Relaxation,Personal growth,5,true,7
2024-08-12 18:13:09,false,55+,6-9,Relaxation,Practicing a new language,3,true,6
2024-08-05 21:30:25,true,55+,2-5,Budget-friendly,Practicing a new language,4,true,8
2024-05-05 19:48:33,false,55+,2-5,Adventure,Trying new food,5,false,5
2024-09-17 00:00:23,false,25-34,2-5,Self-discovery,Exploring new places,2,true,4
2024-03-09 22:57:54,true,35-44,2-5,Self-discovery,Exploring new places,9,true,3
2024-10-05 08:39:27,false,Under 25,6-9,Self-discovery,Practicing a new language,10,true,7
2024-08-07 14:11:14,false,55+,2-5,Adventure,Exploring new places,2,true,5
2024-03-17 20:50:47,true,55+,0-1,Cultural Immersion,Trying new food,3,true,6
2024-09-07 05:43:42,true,35-44,10+,Self-discovery,Practicing a new language,4,false,5
2024-09-22 18:28:47,true,Under 25,6-9,Self-discovery,Personal growth,4,true,9
2024-04-25 18:40:17,true,35-44,0-1,Budget-friendly,Meeting new people,10,true,6
2024-10-19 16:44:31,true,25-34,2-5,Self-discovery,Exploring new places,1,false,10
2024-12-05 08:55:45,false,45-54,6-9,Budget-friendly,Exploring new places,6,true,7
2024-09-16 07:04:17,true,Under 25,2-5,Relaxation,Practicing a new language,1,true,5
2024-09-26 09:49:18,true,25-34,2-5,Adventure,Meeting new people,1,true,6
2024-06-10 19:33:24,true,Under 25,2-5,Self-discovery,Practicing a new language,5,true,9
2024-12-14 18:27:59,true,55+,0-1,Adventure,Exploring new places,6,true,2
2024-06-13 10:29:02,true,45-54,6-9,Adventure,Practicing a new language,5,false,4
2024-11-28 09:39:45,false,45-54,2-5,Cultural Immersion,Practicing a new language,3,true,2
2024-11-10 06:50:41,false,Under 25,10+,Adventure,Exploring new places,9,false,10
2024-07-23 03:48:45,true,35-44,10+,Cultural Immersion,Personal growth,1,false,7
2024-09-12 13:05:44,false,25-34,0-1,Cultural Immersion,Practicing a new language,9,false,3
2024-09-27 03:42:49,true,45-54,0-1,Self-discovery,Meeting new people,4,true,9
2024-07-07 17:01:19,true,45-54,6-9,Cultural Immersion,Personal growth,5,true,5
2024-08-22 21:18:41,true,Under 25,6-9,Self-discovery,Practicing a new language,1,true,2
2024-11-29 11:52:32,false,45-54,10+,Cultural Immersion,Trying new food,8,true,9
2024-07-14 19:39:13,true,25-34,2-5,Adventure,Personal growth,2,false,3
2025-02-23 20:52:05,true,55+,6-9,Relaxation,Meeting new people,4,false,5
2024-10-22 11:40:46,true,45-54,10+,Relaxation,Trying new food,4,true,9
2024-07-18 19:55:28,true,55+,0-1,Relaxation,Meeting new people,1,false,4
2024-12-09 01:11:48,true,35-44,2-5,Adventure,Practicing a new language,2,true,2
2025-02-23 18:07:55,false,Under 25,2-5,Cultural Immersion,Exploring new places,2,true,3
2024-09-22 22:32:27,false,25-34,0-1,Budget-friendly,Practicing a new language,7,true,1
2024-08-12 21:01:13,true,55+,0-1,Adventure,Practicing a new language,10,false,5
2024-04-18 07:34:47,false,45-54,0-1,Relaxation,Practicing a new language,7,true,9
2024-12-30 02:46:10,true,55+,2-5,Cultural Immersion,Trying new food,9,true,6
2024-08-17 02:05:20,true,45-54,6-9,Cultural Immersion,Exploring new places,2,false,8
2024-08-01 21:34:05,true,55+,0-1,Relaxation,Meeting new people,8,false,3
2024-04-08 02:42:39,true,45-54,6-9,Adventure,Trying new food,5,true,7
2025-02-17 01:24:20,true,Under 25,6-9,Budget-friendly,Exploring new places,4,true,4
2024-07-08 01:22:53,false,25-34,10+,Adventure,Practicing a new language,3,true,1
2024-09-30 16:06:17,true,25-34,6-9,Adventure,Exploring new places,10,true,4
2025-01-31 06:06:49,false,Under 25,2-5,Adventure,Exploring new places,9,true,3
2024-04-10 22:49:57,false,55+,2-5,Self-discovery,Practicing a new language,8,false,2
2024-04-30 01:17:45,true,35-44,10+,Adventure,Trying new food,5,true,10
2025-01-24 20:04:39,false,Under 25,0-1,Relaxation,Trying new food,2,true,1
2024-07-27 02:45:12,false,45-54,0-1,Adventure,Personal growth,2,true,2
2024-03-29 11:14:22,true,55+,2-5,Cultural Immersion,Exploring new places,8,false,6
2024-04-03 23:28:12,false,35-44,0-1,Cultural Immersion,Trying new food,5,true,4
